#Cont  nu	incident	trans	DiffOut	net trans	reflc	total	reflin	outlin	lineID	cont	nLine
2.99293e+07	6.545e+15	0.000e+00	8.353e+21	8.353e+21	3.738e+06	8.353e+21	0.000e+00	0.000e+00	    	    	0.00
2.98297e+07	6.610e+15	0.000e+00	8.398e+21	8.398e+21	4.533e+06	8.398e+21	0.000e+00	0.000e+00	    	    	0.00
2.97304e+07	6.677e+15	0.000e+00	8.443e+21	8.443e+21	5.491e+06	8.443e+21	0.000e+00	0.000e+00	    	    	0.00
2.96315e+07	6.744e+15	0.000e+00	8.488e+21	8.488e+21	6.643e+06	8.488e+21	0.000e+00	0.000e+00	    	    	0.00
2.95329e+07	6.812e+15	0.000e+00	8.534e+21	8.534e+21	8.027e+06	8.534e+21	0.000e+00	0.000e+00	    	    	0.00
2.94347e+07	6.880e+15	0.000e+00	8.580e+21	8.580e+21	9.687e+06	8.580e+21	0.000e+00	0.000e+00	    	    	0.00
2.93367e+07	6.949e+15	0.000e+00	8.626e+21	8.626e+21	1.168e+07	8.626e+21	0.000e+00	0.000e+00	    	    	0.00
2.92391e+07	7.019e+15	0.000e+00	8.672e+21	8.672e+21	1.406e+07	8.672e+21	0.000e+00	0.000e+00	    	    	0.00
2.91418e+07	7.090e+15	0.000e+00	8.719e+21	8.719e+21	1.690e+07	8.719e+21	0.000e+00	0.000e+00	    	    	0.00
2.90448e+07	7.161e+15	0.000e+00	8.766e+21	8.766e+21	2.030e+07	8.766e+21	0.000e+00	0.000e+00	    	    	0.00
2.89482e+07	7.233e+15	0.000e+00	8.813e+21	8.813e+21	2.435e+07	8.813e+21	0.000e+00	0.000e+00	    	    	0.00
2.88519e+07	7.305e+15	0.000e+00	8.861e+21	8.861e+21	2.917e+07	8.861e+21	0.000e+00	0.000e+00	    	    	0.00
2.87559e+07	7.379e+15	0.000e+00	8.908e+21	8.908e+21	3.491e+07	8.908e+21	0.000e+00	0.000e+00	    	    	0.00
2.86602e+07	7.453e+15	0.000e+00	8.956e+21	8.956e+21	4.172e+07	8.956e+21	0.000e+00	0.000e+00	    	    	0.00
2.85648e+07	7.528e+15	0.000e+00	9.004e+21	9.004e+21	4.981e+07	9.004e+21	0.000e+00	0.000e+00	    	    	0.00
2.84698e+07	7.604e+15	0.000e+00	9.053e+21	9.053e+21	5.940e+07	9.053e+21	0.000e+00	0.000e+00	    	    	0.00
2.83750e+07	7.680e+15	0.000e+00	9.101e+21	9.101e+21	7.076e+07	9.101e+21	0.000e+00	0.000e+00	    	    	0.00
2.82806e+07	7.757e+15	0.000e+00	9.150e+21	9.150e+21	8.419e+07	9.150e+21	0.000e+00	0.000e+00	    	    	0.00
2.81865e+07	7.835e+15	0.000e+00	9.200e+21	9.200e+21	1.001e+08	9.200e+21	0.000e+00	0.000e+00	    	    	0.00
2.80927e+07	7.914e+15	0.000e+00	9.249e+21	9.249e+21	1.188e+08	9.249e+21	0.000e+00	0.000e+00	    	    	0.00
2.79993e+07	7.993e+15	0.000e+00	9.299e+21	9.299e+21	1.408e+08	9.299e+21	0.000e+00	0.000e+00	    	    	0.00
2.79061e+07	8.074e+15	0.000e+00	9.349e+21	9.349e+21	1.668e+08	9.349e+21	0.000e+00	0.000e+00	    	    	0.00
2.78132e+07	8.155e+15	0.000e+00	9.399e+21	9.399e+21	1.974e+08	9.399e+21	0.000e+00	0.000e+00	    	    	0.00
2.77207e+07	8.237e+15	0.000e+00	9.450e+21	9.450e+21	2.333e+08	9.450e+21	0.000e+00	0.000e+00	    	    	0.00
2.76285e+07	8.320e+15	0.000e+00	9.501e+21	9.501e+21	2.754e+08	9.501e+21	0.000e+00	0.000e+00	    	    	0.00
2.75365e+07	8.403e+15	0.000e+00	9.552e+21	9.552e+21	3.248e+08	9.552e+21	0.000e+00	0.000e+00	    	    	0.00
2.74449e+07	8.488e+15	0.000e+00	9.603e+21	9.603e+21	3.827e+08	9.603e+21	0.000e+00	0.000e+00	    	    	0.00
2.73536e+07	8.573e+15	0.000e+00	9.655e+21	9.655e+21	4.503e+08	9.655e+21	0.000e+00	0.000e+00	    	    	0.00
2.72626e+07	8.659e+15	0.000e+00	9.707e+21	9.707e+21	5.294e+08	9.707e+21	0.000e+00	0.000e+00	    	    	0.00
2.71718e+07	8.746e+15	0.000e+00	9.759e+21	9.759e+21	6.217e+08	9.759e+21	0.000e+00	0.000e+00	    	    	0.00
2.70814e+07	8.834e+15	0.000e+00	9.811e+21	9.811e+21	7.294e+08	9.811e+21	0.000e+00	0.000e+00	    	    	0.00
2.69913e+07	8.923e+15	0.000e+00	9.864e+21	9.864e+21	8.548e+08	9.864e+21	0.000e+00	0.000e+00	    	    	0.00
2.69015e+07	9.012e+15	0.000e+00	9.917e+21	9.917e+21	1.001e+09	9.917e+21	0.000e+00	0.000e+00	    	    	0.00
2.68120e+07	9.103e+15	0.000e+00	9.971e+21	9.971e+21	1.170e+09	9.971e+21	0.000e+00	0.000e+00	    	    	0.00
2.67228e+07	9.194e+15	0.000e+00	1.002e+22	1.002e+22	1.367e+09	1.002e+22	0.000e+00	0.000e+00	    	    	0.00
2.66339e+07	9.287e+15	0.000e+00	1.008e+22	1.008e+22	1.596e+09	1.008e+22	0.000e+00	0.000e+00	    	    	0.00
2.65452e+07	9.380e+15	0.000e+00	1.013e+22	1.013e+22	1.861e+09	1.013e+22	0.000e+00	0.000e+00	    	    	0.00
2.64569e+07	9.474e+15	0.000e+00	1.019e+22	1.019e+22	2.168e+09	1.019e+22	0.000e+00	0.000e+00	    	    	0.00
2.63689e+07	9.570e+15	0.000e+00	1.024e+22	1.024e+22	2.522e+09	1.024e+22	0.000e+00	0.000e+00	    	    	0.00
2.62811e+07	9.666e+15	0.000e+00	1.030e+22	1.030e+22	2.932e+09	1.030e+22	0.000e+00	0.000e+00	    	    	0.00
2.61937e+07	9.763e+15	0.000e+00	1.035e+22	1.035e+22	3.406e+09	1.035e+22	0.000e+00	0.000e+00	    	    	0.00
2.61065e+07	9.861e+15	0.000e+00	1.041e+22	1.041e+22	3.952e+09	1.041e+22	0.000e+00	0.000e+00	    	    	0.00
2.60197e+07	9.960e+15	0.000e+00	1.046e+22	1.046e+22	4.581e+09	1.046e+22	0.000e+00	0.000e+00	    	    	0.00
2.59331e+07	1.006e+16	0.000e+00	1.052e+22	1.052e+22	5.305e+09	1.052e+22	0.000e+00	0.000e+00	    	    	0.00
2.58468e+07	1.016e+16	0.000e+00	1.058e+22	1.058e+22	6.138e+09	1.058e+22	0.000e+00	0.000e+00	    	    	0.00
2.57608e+07	1.026e+16	0.000e+00	1.063e+22	1.063e+22	7.095e+09	1.063e+22	0.000e+00	0.000e+00	    	    	0.00
2.56751e+07	1.037e+16	0.000e+00	1.069e+22	1.069e+22	8.193e+09	1.069e+22	0.000e+00	0.000e+00	    	    	0.00
2.55896e+07	1.047e+16	0.000e+00	1.075e+22	1.075e+22	9.453e+09	1.075e+22	0.000e+00	0.000e+00	    	    	0.00
2.55045e+07	1.058e+16	0.000e+00	1.081e+22	1.081e+22	1.090e+10	1.081e+22	0.000e+00	0.000e+00	    	    	0.00
2.54196e+07	1.068e+16	0.000e+00	1.086e+22	1.086e+22	1.255e+10	1.086e+22	0.000e+00	0.000e+00	    	    	0.00
2.53351e+07	1.079e+16	0.000e+00	1.092e+22	1.092e+22	1.444e+10	1.092e+22	0.000e+00	0.000e+00	    	    	0.00
2.52508e+07	1.090e+16	0.000e+00	1.098e+22	1.098e+22	1.660e+10	1.098e+22	0.000e+00	0.000e+00	    	    	0.00
2.51667e+07	1.101e+16	0.000e+00	1.104e+22	1.104e+22	1.906e+10	1.104e+22	0.000e+00	0.000e+00	    	    	0.00
2.50830e+07	1.112e+16	0.000e+00	1.110e+22	1.110e+22	2.188e+10	1.110e+22	0.000e+00	0.000e+00	    	    	0.00
2.49995e+07	1.123e+16	0.000e+00	1.116e+22	1.116e+22	2.508e+10	1.116e+22	0.000e+00	0.000e+00	    	    	0.00
2.49163e+07	1.134e+16	0.000e+00	1.122e+22	1.122e+22	2.873e+10	1.122e+22	0.000e+00	0.000e+00	    	    	0.00
2.48334e+07	1.146e+16	0.000e+00	1.128e+22	1.128e+22	3.288e+10	1.128e+22	0.000e+00	0.000e+00	    	    	0.00
2.47508e+07	1.157e+16	0.000e+00	1.134e+22	1.134e+22	3.760e+10	1.134e+22	0.000e+00	0.000e+00	    	    	0.00
2.46685e+07	1.169e+16	0.000e+00	1.140e+22	1.140e+22	4.296e+10	1.140e+22	0.000e+00	0.000e+00	    	    	0.00
2.45864e+07	1.181e+16	0.000e+00	1.146e+22	1.146e+22	4.904e+10	1.146e+22	0.000e+00	0.000e+00	    	    	0.00
2.45046e+07	1.192e+16	0.000e+00	1.152e+22	1.152e+22	5.593e+10	1.152e+22	0.000e+00	0.000e+00	    	    	0.00
2.44230e+07	1.204e+16	0.000e+00	1.159e+22	1.159e+22	6.374e+10	1.159e+22	0.000e+00	0.000e+00	    	    	0.00
2.43418e+07	1.217e+16	0.000e+00	1.165e+22	1.165e+22	7.258e+10	1.165e+22	0.000e+00	0.000e+00	    	    	0.00
2.42608e+07	1.229e+16	0.000e+00	1.171e+22	1.171e+22	8.258e+10	1.171e+22	0.000e+00	0.000e+00	    	    	0.00
2.41800e+07	1.241e+16	0.000e+00	1.177e+22	1.177e+22	9.388e+10	1.177e+22	0.000e+00	0.000e+00	    	    	0.00
2.40996e+07	1.254e+16	0.000e+00	1.184e+22	1.184e+22	1.066e+11	1.184e+22	0.000e+00	0.000e+00	    	    	0.00
2.40194e+07	1.266e+16	0.000e+00	1.190e+22	1.190e+22	1.210e+11	1.190e+22	0.000e+00	0.000e+00	    	    	0.00
2.39395e+07	1.279e+16	0.000e+00	1.196e+22	1.196e+22	1.372e+11	1.196e+22	0.000e+00	0.000e+00	    	    	0.00
