#Cont  nu	incident	trans	DiffOut	net trans	reflc	total	reflin	outlin	lineID	cont	nLine
2.99293e+07	0.000e+00	0.000e+00	9.070e+21	9.070e+21	0.000e+00	9.070e+21	0.000e+00	0.000e+00	    	    	0.00
2.98297e+07	0.000e+00	0.000e+00	9.122e+21	9.122e+21	0.000e+00	9.122e+21	0.000e+00	0.000e+00	    	    	0.00
2.97304e+07	0.000e+00	0.000e+00	9.175e+21	9.175e+21	0.000e+00	9.175e+21	0.000e+00	0.000e+00	    	    	0.00
2.96315e+07	0.000e+00	0.000e+00	9.227e+21	9.227e+21	0.000e+00	9.227e+21	0.000e+00	0.000e+00	    	    	0.00
2.95329e+07	0.000e+00	0.000e+00	9.280e+21	9.280e+21	0.000e+00	9.280e+21	0.000e+00	0.000e+00	    	    	0.00
2.94347e+07	0.000e+00	0.000e+00	9.333e+21	9.333e+21	0.000e+00	9.333e+21	0.000e+00	0.000e+00	    	    	0.00
2.93367e+07	0.000e+00	0.000e+00	9.387e+21	9.387e+21	0.000e+00	9.387e+21	0.000e+00	0.000e+00	    	    	0.00
2.92391e+07	0.000e+00	0.000e+00	9.441e+21	9.441e+21	0.000e+00	9.441e+21	0.000e+00	0.000e+00	    	    	0.00
2.91418e+07	0.000e+00	0.000e+00	9.495e+21	9.495e+21	0.000e+00	9.495e+21	0.000e+00	0.000e+00	    	    	0.00
2.90448e+07	0.000e+00	0.000e+00	9.550e+21	9.550e+21	0.000e+00	9.550e+21	0.000e+00	0.000e+00	    	    	0.00
2.89482e+07	0.000e+00	0.000e+00	9.605e+21	9.605e+21	0.000e+00	9.605e+21	0.000e+00	0.000e+00	    	    	0.00
2.88519e+07	0.000e+00	0.000e+00	9.660e+21	9.660e+21	0.000e+00	9.660e+21	0.000e+00	0.000e+00	    	    	0.00
2.87559e+07	0.000e+00	0.000e+00	9.715e+21	9.715e+21	0.000e+00	9.715e+21	0.000e+00	0.000e+00	    	    	0.00
2.86602e+07	0.000e+00	0.000e+00	9.771e+21	9.771e+21	0.000e+00	9.771e+21	0.000e+00	0.000e+00	    	    	0.00
2.85648e+07	0.000e+00	0.000e+00	9.827e+21	9.827e+21	0.000e+00	9.827e+21	0.000e+00	0.000e+00	    	    	0.00
2.84698e+07	0.000e+00	0.000e+00	9.884e+21	9.884e+21	0.000e+00	9.884e+21	0.000e+00	0.000e+00	    	    	0.00
2.83750e+07	0.000e+00	0.000e+00	9.941e+21	9.941e+21	0.000e+00	9.941e+21	0.000e+00	0.000e+00	    	    	0.00
2.82806e+07	0.000e+00	0.000e+00	9.998e+21	9.998e+21	0.000e+00	9.998e+21	0.000e+00	0.000e+00	    	    	0.00
2.81865e+07	0.000e+00	0.000e+00	1.006e+22	1.006e+22	0.000e+00	1.006e+22	0.000e+00	0.000e+00	    	    	0.00
2.80927e+07	0.000e+00	0.000e+00	1.011e+22	1.011e+22	0.000e+00	1.011e+22	0.000e+00	0.000e+00	    	    	0.00
2.79993e+07	0.000e+00	0.000e+00	1.017e+22	1.017e+22	0.000e+00	1.017e+22	0.000e+00	0.000e+00	    	    	0.00
2.79061e+07	0.000e+00	0.000e+00	1.023e+22	1.023e+22	0.000e+00	1.023e+22	0.000e+00	0.000e+00	    	    	0.00
2.78132e+07	0.000e+00	0.000e+00	1.029e+22	1.029e+22	0.000e+00	1.029e+22	0.000e+00	0.000e+00	    	    	0.00
2.77207e+07	0.000e+00	0.000e+00	1.035e+22	1.035e+22	0.000e+00	1.035e+22	0.000e+00	0.000e+00	    	    	0.00
2.76285e+07	0.000e+00	0.000e+00	1.041e+22	1.041e+22	0.000e+00	1.041e+22	0.000e+00	0.000e+00	    	    	0.00
2.75365e+07	0.000e+00	0.000e+00	1.047e+22	1.047e+22	0.000e+00	1.047e+22	0.000e+00	0.000e+00	    	    	0.00
2.74449e+07	0.000e+00	0.000e+00	1.053e+22	1.053e+22	0.000e+00	1.053e+22	0.000e+00	0.000e+00	    	    	0.00
2.73536e+07	0.000e+00	0.000e+00	1.059e+22	1.059e+22	0.000e+00	1.059e+22	0.000e+00	0.000e+00	    	    	0.00
2.72626e+07	0.000e+00	0.000e+00	1.065e+22	1.065e+22	0.000e+00	1.065e+22	0.000e+00	0.000e+00	    	    	0.00
2.71718e+07	0.000e+00	0.000e+00	1.071e+22	1.071e+22	0.000e+00	1.071e+22	0.000e+00	0.000e+00	    	    	0.00
2.70814e+07	0.000e+00	0.000e+00	1.077e+22	1.077e+22	0.000e+00	1.077e+22	0.000e+00	0.000e+00	    	    	0.00
2.69913e+07	0.000e+00	0.000e+00	1.083e+22	1.083e+22	0.000e+00	1.083e+22	0.000e+00	0.000e+00	    	    	0.00
2.69015e+07	0.000e+00	0.000e+00	1.090e+22	1.090e+22	0.000e+00	1.090e+22	0.000e+00	0.000e+00	    	    	0.00
2.68120e+07	0.000e+00	0.000e+00	1.096e+22	1.096e+22	0.000e+00	1.096e+22	0.000e+00	0.000e+00	    	    	0.00
2.67228e+07	0.000e+00	0.000e+00	1.102e+22	1.102e+22	0.000e+00	1.102e+22	0.000e+00	0.000e+00	    	    	0.00
2.66339e+07	0.000e+00	0.000e+00	1.109e+22	1.109e+22	0.000e+00	1.109e+22	0.000e+00	0.000e+00	    	    	0.00
2.65452e+07	0.000e+00	0.000e+00	1.115e+22	1.115e+22	0.000e+00	1.115e+22	0.000e+00	0.000e+00	    	    	0.00
2.64569e+07	0.000e+00	0.000e+00	1.122e+22	1.122e+22	0.000e+00	1.122e+22	0.000e+00	0.000e+00	    	    	0.00
